cic,industry,obs,employment,members,covered,percentmem,percentcov,year
1000,"AGRICULTURE, FORESTRY, FISHING, & HUNTING",1917000,1365195,24324,37040,1.78,2.71,2016
170,Crop production,914000,716404,10723,17119,1.5,2.39,2016
180,Animal production,611000,395753,4406,6841,1.11,1.73,2016
190,Forestry except logging,96000,45553,5910,7649,12.98,16.79,2016
270,Logging,108000,65058,2793,2793,4.29,4.29,2016
280,"Fishing, hunting, and trapping",34000,18139,375,375,2.07,2.07,2016
290,Support activities for agriculture and forestry,154000,124285,113,2261,0.09,1.82,2016
2000,MINING,1324000,764342,42494,47894,5.56,6.27,2016
370,Oil and gas extraction,139000,100490,2475,2475,2.46,2.46,2016
380,Coal mining,182000,53295,5901,5901,11.07,11.07,2016
390,Metal ore mining,69000,35864,5088,8370,14.19,23.34,2016
470,"Nonmetallic mineral and not specified mining, and quarrying",174000,105596,9938,9938,9.41,9.41,2016
490,Support activities for mining,760000,469095,19090,21208,4.07,4.52,2016
3000,UTILITIES,11054000,9120110,1463786,1552251,16.05,17.02,2016
570,"Electric power generation, transmission and distribution",886000,668060,153122,168943,22.92,25.29,2016
580,Natural gas distribution,194000,146728,36213,36969,24.68,25.2,2016
590,"Electric and gas, and other combinations",108000,94637,28082,30319,29.67,32.04,2016
670,"Water, steam, air conditioning, and irrigation systems",328000,257241,61243,66169,23.81,25.72,2016
680,Sewage treatment facilities,102000,86252,30687,31843,35.58,36.92,2016
690,Not specified utilities,34000,27600,4669,5316,16.92,19.26,2016
770,CONSTRUCTION,9402000,7839588,1149767,1212689,14.67,15.47,2016
4000,NONDURABLE GOODS MANUFACTURING,6672000,5557256,470629,518613,8.47,9.33,2016
1070,"Animal food, grain, and oilseed milling",194000,148945,12581,14441,8.45,9.7,2016
1080,Sugar and confectionery products,103000,76849,8360,9773,10.88,12.72,2016
1090,Fruit and vegetable preserving and specialty food manufacturing,187000,149922,15391,15391,10.27,10.27,2016
1170,Dairy product manufacturing,190000,131482,12939,14587,9.84,11.09,2016
1180,Animal slaughtering and processing,680000,477754,71693,80269,15.01,16.8,2016
1190,Retail bakeries,331000,279839,21030,25974,7.52,9.28,2016
1270,"Bakeries, except retail",217000,197180,25477,25477,12.92,12.92,2016
1280,"Seafood and other miscellaneous foods, n.e.c.",269000,215063,8690,14331,4.04,6.66,2016
1290,Not specified food industries,47000,47902,2491,2491,5.2,5.2,2016
1370,Beverage manufacturing,318000,300071,36248,37532,12.08,12.51,2016
1390,Tobacco manufacturing,27000,25259,2176,2176,8.61,8.61,2016
1470,"Fiber, yarn, and thread mills",11000,9413,919,919,9.77,9.77,2016
1480,"Fabric mills, except knitting",108000,94304,1817,1817,1.93,1.93,2016
1490,Textile and fabric finishing and coating mills,23000,18560,295,1423,1.59,7.67,2016
1570,Carpet and rug mills,68000,70143,3570,3570,5.09,5.09,2016
1590,"Textile product mills, except carpet and rug",86000,66372,1939,1939,2.92,2.92,2016
1670,"Knitting mills, and apparel knitting mills",24000,17288,0,0,0.0,0.0,2016
