cic,industry,obs,employment,members,covered,percentmem,percentcov,year
1000,"AGRICULTURE, FORESTRY, FISHING, & HUNTING",1675000,1096812,25085,30316,2.29,2.76,2007
170,Crop production,674000,497658,5149,6447,1.03,1.3,2007
180,Animal production,636000,374193,8513,9492,2.28,2.54,2007
190,Forestry except logging,95000,44249,7479,9488,16.9,21.44,2007
270,Logging,99000,71385,0,0,0.0,0.0,2007
280,"Fishing, hunting, and trapping",48000,20446,862,862,4.22,4.22,2007
290,Support activities for agriculture and forestry,123000,88878,3081,4024,3.47,4.53,2007
2000,MINING,1309000,712445,67709,73877,9.5,10.37,2007
370,Oil and gas extraction,163000,97568,1891,2526,1.94,2.59,2007
380,Coal mining,245000,93886,23125,24087,24.63,25.66,2007
390,Metal ore mining,99000,40718,11423,12683,28.05,31.15,2007
470,Nonmetallic mineral mining and quarrying,187000,102960,19461,21714,18.9,21.09,2007
480,Not specified type of mining,16000,9359,1727,1727,18.45,18.45,2007
490,Support activities for mining,599000,367952,10080,11137,2.74,3.03,2007
3000,UTILITIES,13442000,10173878,1705315,1767996,16.76,17.38,2007
570,"Electric power generation, transmission and distribution",940000,625721,191540,198603,30.61,31.74,2007
580,Natural gas distribution,167000,125850,28963,31788,23.01,25.26,2007
590,"Electric and gas, and other combinations",73000,55862,22565,22565,40.39,40.39,2007
670,"Water, steam, air-conditioning, and irrigation systems",301000,229833,53953,55764,23.47,24.26,2007
680,Sewage treatment facilities,157000,106754,42546,45747,39.85,42.85,2007
690,Not specified utilities,36000,27392,7187,7356,26.24,26.86,2007
770,CONSTRUCTION,11768000,9002463,1358560,1406171,15.09,15.62,2007
4000,NONDURABLE GOODS MANUFACTURING,7476000,5591383,630823,677154,11.28,12.11,2007
1070,"Animal food, grain and oilseed milling",212000,136362,22923,23311,16.81,17.1,2007
1080,Sugar and confectionery products,118000,77146,17107,18989,22.17,24.61,2007
1090,Fruit and vegetable preserving and specialty food manufacturing,216000,155319,33079,36346,21.3,23.4,2007
1170,Dairy product manufacturing,265000,167692,26411,27741,15.75,16.54,2007
1180,Animal slaughtering and processing,701000,452730,90850,98301,20.07,21.71,2007
1190,Retail bakeries,157000,113935,16234,16234,14.25,14.25,2007
1270,"Bakeries, except retail",254000,205686,24646,30705,11.98,14.93,2007
1280,"Seafood and other miscellaneous foods, n.e.c.",252000,187271,15874,19768,8.48,10.56,2007
1290,Not specified food industries,30000,23891,5023,5023,21.03,21.03,2007
1370,Beverage manufacturing,253000,195945,39603,41026,20.21,20.94,2007
1390,Tobacco manufacturing,31000,28683,5133,5133,17.9,17.9,2007
1470,"Fiber, yarn, and thread mills",23000,17584,0,0,0.0,0.0,2007
1480,"Fabric mills, except knitting",154000,117793,9099,9249,7.72,7.85,2007
1490,Textile and fabric finishing and coating mills,45000,27899,1042,1042,3.74,3.74,2007
1570,Carpet and rug mills,65000,61433,0,0,0.0,0.0,2007
1590,"Textile product mills, except carpets and rugs",121000,88004,4210,4210,4.78,4.78,2007
1670,Knitting mills,33000,25188,0,0,0.0,0.0,2007
1680,Cut and sew apparel manufacturing,343000,312931,15669,17936,5.01,5.73,2007
1690,Apparel accessories and other apparel manufacturing,14000,10882,0,0,0.0,0.0,2007
1770,Footwear manufacturing,54000,31310,2638,2638,8.43,8.43,2007
1790,"Leather tanning and products, except footwear manufacturing",33000,22059,1001,1001,4.54,4.54,2007
1870,"Pulp, paper, and paperboard mills",258000,170741,51729,53970,30.3,31.61,2007
1880,Paperboard containers and boxes,198000,158322,36444,38271,23.02,24.17,2007
1890,Miscellaneous paper and pulp products,111000,86495,10088,12543,11.66,14.5,2007
1990,Printing and related support activities,867000,642246,33064,36199,5.15,5.64,2007
2070,Petroleum refining,176000,137147,25712,25939,18.75,18.91,2007
2090,Miscellaneous petroleum and coal products,26000,21107,3724,3724,17.65,17.65,2007
2170,"Resin, synthetic rubber and fibers, and filaments manufacturing",121000,92648,4813,5440,5.2,5.87,2007
2180,Agricultural chemical manufacturing,52000,32807,258,258,0.79,0.79,2007
2190,Pharmaceutical and medicine manufacturing,579000,458732,15315,18350,3.34,4.0,2007
2270,"Paint, coating, and adhesive manufacturing",99000,75711,6967,6967,9.2,9.2,2007
2280,"Soap, cleaning compound, and cosmetics manufacturing",199000,161327,10480,12029,6.5,7.46,2007
2290,Industrial and miscellaneous chemicals,480000,372119,38423,38528,10.33,10.35,2007
2370,Plastics product manufacturing,724000,559226,35552,36965,6.36,6.61,2007
2380,Tire manufacturing,106000,86951,21751,22536,25.02,25.92,2007
2390,"Rubber products, except tires, manufacturing",106000,76045,5946,6770,7.82,8.9,2007
5000,DURABLE GOODS MANUFACTURING,12916000,9846582,1127048,1198754,11.45,12.17,2007
2470,"Pottery, ceramics, and related products manufacturing",29000,21846,2446,2446,11.2,11.2,2007
2480,Structural clay product manufacturing,44000,35779,3728,3728,10.42,10.42,2007
2490,Glass and glass product manufacturing,167000,137235,30196,33141,22.0,24.15,2007
2570,"Cement, concrete, lime, and gypsum product manufacturing",297000,222982,23011,24770,10.32,11.11,2007
2590,Miscellaneous nonmetallic mineral product manufacturing,117000,96584,7544,9269,7.81,9.6,2007
2670,Iron and steel mills and steel product manufacturing,313000,260387,65438,68689,25.13,26.38,2007
2680,Aluminum production and processing,96000,82397,21094,21094,25.6,25.6,2007
2690,"Nonferrous metal, except aluminum, production and processing",83000,63757,6905,9095,10.83,14.27,2007
2770,Foundries,131000,99596,20045,20045,20.13,20.13,2007
