cic,industry,obs,employment,members,covered,percentmem,percentcov,year
1000,"AGRICULTURE, FORESTRY, FISHING, & HUNTING",1738000,1409664,26225,44648,1.86,3.17,2019
170,Crop production,873000,763812,12299,19734,1.61,2.58,2019
180,Animal production,511000,365006,3762,6407,1.03,1.76,2019
190,Forestry except logging,72000,45783,3591,6306,7.84,13.77,2019
270,Logging,115000,85189,2213,2213,2.6,2.6,2019
280,"Fishing, hunting, and trapping",51000,35873,1747,2872,4.87,8.01,2019
290,Support activities for agriculture and forestry,116000,113999,2610,7114,2.29,6.24,2019
2000,MINING,1132000,710643,28586,33041,4.02,4.65,2019
370,Oil and gas extraction,144000,89226,0,1445,0.0,1.62,2019
380,Coal mining,146000,51469,4945,4945,9.61,9.61,2019
390,Metal ore mining,47000,29405,387,937,1.32,3.19,2019
470,"Nonmetallic mineral and not specified mining, and quarrying",138000,87574,12032,12435,13.74,14.2,2019
490,Support activities for mining,657000,452967,11220,13277,2.48,2.93,2019
3000,UTILITIES,10991000,10124788,1521057,1618365,15.02,15.98,2019
570,"Electric power generation, transmission and distribution",845000,731658,192758,199053,26.35,27.21,2019
580,Natural gas distribution,147000,122702,31307,31618,25.52,25.77,2019
590,"Electric and gas, and other combinations",139000,135893,36620,36620,26.95,26.95,2019
670,"Water, steam, air conditioning, and irrigation systems",307000,268610,48735,52048,18.14,19.38,2019
680,Sewage treatment facilities,112000,95506,22129,22744,23.17,23.81,2019
690,Not specified utilities,35000,34138,6184,6184,18.12,18.12,2019
770,CONSTRUCTION,9406000,8736278,1183321,1270096,13.54,14.54,2019
4000,NONDURABLE GOODS MANUFACTURING,6063000,5587125,457014,514924,8.18,9.22,2019
1070,"Animal food, grain, and oilseed milling",185000,158332,15904,15904,10.05,10.05,2019
1080,Sugar and confectionery products,107000,91997,16052,16337,17.45,17.76,2019
1090,Fruit and vegetable preserving and specialty food manufacturing,156000,142669,17651,19307,12.37,13.53,2019
1170,Dairy product manufacturing,185000,141518,17192,17192,12.15,12.15,2019
