cic,industry,obs,employment,members,covered,percentmem,percentcov,year
1000,"AGRICULTURE, FORESTRY, FISHING, & HUNTING",1807000,1229474,22594,30195,1.84,2.46,2011
170,Crop production,770000,586759,8271,11174,1.41,1.9,2011
180,Animal production,620000,372837,6648,8092,1.78,2.17,2011
190,Forestry except logging,72000,36410,4867,8121,13.37,22.31,2011
270,Logging,114000,67500,1458,1458,2.16,2.16,2011
280,"Fishing, hunting, and trapping",41000,23985,0,0,0.0,0.0,2011
290,Support activities for agriculture and forestry,190000,141980,1348,1348,0.95,0.95,2011
2000,MINING,1327000,782904,56496,61121,7.22,7.81,2011
370,Oil and gas extraction,108000,65450,2934,2934,4.48,4.48,2011
380,Coal mining,258000,110145,20992,22431,19.06,20.37,2011
390,Metal ore mining,75000,40907,14062,14978,34.37,36.62,2011
470,Nonmetallic mineral mining and quarrying,166000,79834,10677,10677,13.37,13.37,2011
490,Support activities for mining,720000,486565,7831,10099,1.61,2.08,2011
3000,UTILITIES,10209000,7879479,1347749,1425055,17.1,18.09,2011
570,"Electric power generation, transmission and distribution",882000,640128,164299,169138,25.67,26.42,2011
580,Natural gas distribution,153000,118290,40329,41382,34.09,34.98,2011
590,"Electric and gas, and other combinations",99000,80470,28758,29758,35.74,36.98,2011
670,"Water, steam, air-conditioning, and irrigation systems",305000,244244,60730,64868,24.86,26.56,2011
680,Sewage treatment facilities,142000,106585,31652,34312,29.7,32.19,2011
690,Not specified utilities,37000,30847,9456,10304,30.65,33.41,2011
770,CONSTRUCTION,8591000,6658914,1012521,1075290,15.21,16.15,2011
4000,NONDURABLE GOODS MANUFACTURING,6645000,5090760,557577,601064,10.95,11.81,2011
1070,"Animal food, grain and oilseed milling",223000,162255,15215,15215,9.38,9.38,2011
1080,Sugar and confectionery products,114000,87247,17815,18861,20.42,21.62,2011
1090,Fruit and vegetable preserving and specialty food manufacturing,184000,145684,24671,25961,16.93,17.82,2011
1170,Dairy product manufacturing,261000,159329,19218,21787,12.06,13.67,2011
1180,Animal slaughtering and processing,750000,508851,100733,103408,19.8,20.32,2011
1190,Retail bakeries,219000,161730,13032,15036,8.06,9.3,2011
1270,"Bakeries, except retail",205000,163196,33952,34323,20.8,21.03,2011
1280,"Seafood and other miscellaneous foods, n.e.c.",252000,183980,15870,18843,8.63,10.24,2011
1290,Not specified food industries,55000,41014,6975,6975,17.01,17.01,2011
1370,Beverage manufacturing,282000,225173,41701,42377,18.52,18.82,2011
1390,Tobacco manufacturing,18000,16623,845,1964,5.09,11.82,2011
1470,"Fiber, yarn, and thread mills",10000,8858,0,0,0.0,0.0,2011
1480,"Fabric mills, except knitting",124000,104760,2020,2020,1.93,1.93,2011
1490,Textile and fabric finishing and coating mills,27000,15957,2412,2412,15.12,15.12,2011
1570,Carpet and rug mills,48000,51319,1892,1892,3.69,3.69,2011
1590,"Textile product mills, except carpets and rugs",71000,58687,1774,1774,3.02,3.02,2011
1670,Knitting mills,27000,22619,1335,1335,5.9,5.9,2011
1680,Cut and sew apparel manufacturing,236000,214668,5693,6565,2.65,3.06,2011
1690,Apparel accessories and other apparel manufacturing,5000,3746,0,0,0.0,0.0,2011
1770,Footwear manufacturing,58000,41185,3261,3261,7.92,7.92,2011
1790,"Leather tanning and products, except footwear manufacturing",30000,27086,1638,1638,6.05,6.05,2011
1870,"Pulp, paper, and paperboard mills",226000,167238,50607,53253,30.26,31.84,2011
1880,Paperboard containers and boxes,118000,88423,13123,13850,14.84,15.66,2011
1890,Miscellaneous paper and pulp products,106000,88020,9332,9332,10.6,10.6,2011
1990,Printing and related support activities,629000,462354,35119,37234,7.6,8.05,2011
2070,Petroleum refining,215000,166429,25254,25790,15.17,15.5,2011
2090,Miscellaneous petroleum and coal products,24000,22010,3665,3665,16.65,16.65,2011
2170,"Resin, synthetic rubber and fibers, and filaments manufacturing",236000,186430,13009,13881,6.98,7.45,2011
2180,Agricultural chemical manufacturing,41000,27783,1303,1303,4.69,4.69,2011
2190,Pharmaceutical and medicine manufacturing,567000,455923,15402,22186,3.38,4.87,2011
2270,"Paint, coating, and adhesive manufacturing",79000,65632,2957,2957,4.51,4.51,2011
2280,"Soap, cleaning compound, and cosmetics manufacturing",146000,119821,4508,6260,3.76,5.22,2011
2290,Industrial and miscellaneous chemicals,488000,373812,34071,37435,9.11,10.01,2011
2370,Plastics product manufacturing,393000,318085,18504,23643,5.82,7.43,2011
2380,Tire manufacturing,73000,64193,14755,16936,22.99,26.38,2011
2390,"Rubber products, except tires, manufacturing",105000,80620,5898,7676,7.32,9.52,2011
5000,DURABLE GOODS MANUFACTURING,11000000,8601110,889280,945903,10.34,11.0,2011
2470,"Pottery, ceramics, and related products manufacturing",20000,14876,1973,1973,13.26,13.26,2011
2480,Structural clay product manufacturing,31000,26031,2675,2675,10.28,10.28,2011
2490,Glass and glass product manufacturing,156000,131692,21510,22298,16.33,16.93,2011
2570,"Cement, concrete, lime, and gypsum product manufacturing",188000,134149,13893,15409,10.36,11.49,2011
2590,Miscellaneous nonmetallic mineral product manufacturing,73000,49767,8849,8849,17.78,17.78,2011
2670,Iron and steel mills and steel product manufacturing,332000,292715,73642,73642,25.16,25.16,2011
2680,Aluminum production and processing,71000,65155,15196,15196,23.32,23.32,2011
2690,"Nonferrous metal, except aluminum, production and processing",68000,56435,5231,6089,9.27,10.79,2011
2770,Foundries,100000,82099,12130,13015,14.78,15.85,2011
2780,Metal forgings and stampings,56000,42603,4463,4463,10.48,10.48,2011
2790,Cutlery and hand tool manufacturing,52000,41425,3638,3638,8.78,8.78,2011
2870,"Structural metals, and tank and shipping container manufacturing",407000,324369,43516,46182,13.42,14.24,2011
2880,"Machine shops; turned product; screw, nut and bolt manufacturing",350000,283108,16580,16580,5.86,5.86,2011
2890,"Coating, engraving, heat treating and allied activities",95000,79065,5254,6107,6.65,7.72,2011
2970,Ordnance,67000,37863,10221,10221,27.0,27.0,2011
2980,Miscellaneous fabricated metal products manufacturing,317000,244111,25165,25165,10.31,10.31,2011
2990,Not specified metal industries,21000,19622,894,894,4.56,4.56,2011
3070,Agricultural implement manufacturing,193000,101619,14059,14470,13.84,14.24,2011
3080,"Construction, mining and oil field machinery manufacturing",189000,147340,18807,19744,12.76,13.4,2011
3090,Commercial and service industry machinery manufacturing,118000,93774,429,429,0.46,0.46,2011
3170,Metalworking machinery manufacturing,171000,131424,5438,6386,4.14,4.86,2011
3180,"Engines, turbines, and power transmission equipment manufacturing",72000,57049,6790,6926,11.9,12.14,2011
3190,"Machinery manufacturing, n.e.c.",739000,573682,35484,37088,6.19,6.46,2011
3360,Computer and peripheral equipment manufacturing,323000,265850,4812,5466,1.81,2.06,2011
3370,"Communications, audio, and video equipment manufacturing",160000,131917,4060,4609,3.08,3.49,2011
3380,"Navigational, measuring, electromedical, & control instruments manufacturin",295000,212229,13340,16689,6.29,7.86,2011
3390,"Electronic component and product manufacturing, n.e.c.",869000,642175,14751,14751,2.3,2.3,2011
3470,Household appliance manufacturing,85000,71080,9918,10997,13.95,15.47,2011
3490,"Electrical lighting, equipment, and supplies manufacturing, n.e.c.",397000,285208,21069,25077,7.39,8.79,2011
