cic,industry,obs,employment,members,covered,percentmem,percentcov,year
1000,"AGRICULTURE, FORESTRY, FISHING, & HUNTING",1733000,1127610,42134,52080,3.74,4.62,2008
170,Crop production,711000,522713,11335,15774,2.17,3.02,2008
180,Animal production,653000,379498,11049,11346,2.91,2.99,2008
190,Forestry except logging,104000,53093,8885,11057,16.73,20.83,2008
270,Logging,84000,51751,2308,2538,4.46,4.9,2008
280,"Fishing, hunting, and trapping",45000,18899,0,1868,0.0,9.89,2008
290,Support activities for agriculture and forestry,136000,101654,8555,9495,8.42,9.34,2008
2000,MINING,1331000,779844,55691,62924,7.14,8.07,2008
370,Oil and gas extraction,126000,77187,1152,2345,1.49,3.04,2008
380,Coal mining,243000,97848,14152,15707,14.46,16.05,2008
390,Metal ore mining,67000,35780,16345,16463,45.68,46.01,2008
470,Nonmetallic mineral mining and quarrying,171000,95109,13233,13454,13.91,14.15,2008
480,Not specified type of mining,14000,6185,567,567,9.17,9.17,2008
490,Support activities for mining,710000,467731,10239,14386,2.19,3.08,2008
3000,UTILITIES,12328000,9320292,1682585,1758130,18.05,18.86,2008
570,"Electric power generation, transmission and distribution",912000,629027,180699,190431,28.73,30.27,2008
580,Natural gas distribution,186000,140610,35671,36669,25.37,26.08,2008
590,"Electric and gas, and other combinations",103000,82698,32140,33166,38.87,40.11,2008
670,"Water, steam, air-conditioning, and irrigation systems",318000,241030,57183,62033,23.72,25.74,2008
680,Sewage treatment facilities,161000,108895,33782,36090,31.02,33.14,2008
690,Not specified utilities,37000,29276,12032,13145,41.1,44.9,2008
770,CONSTRUCTION,10611000,8088753,1331073,1386594,16.46,17.14,2008
4000,NONDURABLE GOODS MANUFACTURING,7140000,5418456,587858,642775,10.85,11.86,2008
1070,"Animal food, grain and oilseed milling",211000,137641,14061,14312,10.22,10.4,2008
1080,Sugar and confectionery products,118000,75903,11323,11323,14.92,14.92,2008
1090,Fruit and vegetable preserving and specialty food manufacturing,216000,154544,34166,36856,22.11,23.85,2008
1170,Dairy product manufacturing,208000,139647,25611,28600,18.34,20.48,2008
1180,Animal slaughtering and processing,736000,498693,83028,89576,16.65,17.96,2008
1190,Retail bakeries,200000,146265,12325,14341,8.43,9.81,2008
1270,"Bakeries, except retail",258000,206151,31091,35078,15.08,17.02,2008
1280,"Seafood and other miscellaneous foods, n.e.c.",235000,160372,18303,18792,11.41,11.72,2008
1290,Not specified food industries,19000,15639,6000,6000,38.36,38.36,2008
1370,Beverage manufacturing,263000,221645,36708,37626,16.56,16.98,2008
1390,Tobacco manufacturing,37000,32950,5783,5783,17.55,17.55,2008
1470,"Fiber, yarn, and thread mills",18000,18089,161,161,0.89,0.89,2008
1480,"Fabric mills, except knitting",175000,133553,4701,6732,3.52,5.04,2008
