cic,industry,obs,employment,members,covered,percentmem,percentcov,year
1000,"AGRICULTURE, FORESTRY, FISHING, & HUNTING",1392000,1305519,59365,66706,4.55,5.11,2022
170,Crop production,681000,725802,34430,37037,4.74,5.1,2022
180,Animal production,409000,329541,6328,7943,1.92,2.41,2022
190,Forestry except logging,73000,50838,6757,9875,13.29,19.42,2022
270,Logging,76000,61430,2482,2482,4.04,4.04,2022
280,"Fishing, hunting, and trapping",41000,21638,0,0,0.0,0.0,2022
290,Support activities for agriculture and forestry,112000,116267,9367,9367,8.06,8.06,2022
2000,MINING,757000,560224,39335,46686,7.02,8.33,2022
370,Oil and gas extraction,83000,69852,2820,2820,4.04,4.04,2022
380,Coal mining,92000,34942,6112,6112,17.49,17.49,2022
390,Metal ore mining,51000,33053,6493,7717,19.65,23.35,2022
470,Nonmetallic mineral mining and quarrying,90000,68776,8913,8913,12.96,12.96,2022
490,Support activities for mining,441000,353599,14995,21123,4.24,5.97,2022
3000,UTILITIES,9410000,10408468,1444123,1531107,13.87,14.71,2022
570,"Electric power generation, transmission and distribution",704000,690841,141337,150673,20.46,21.81,2022
580,Natural gas distribution,119000,115060,20281,21780,17.63,18.93,2022
590,"Electric and gas, and other combinations",100000,116925,36923,36923,31.58,31.58,2022
670,"Water, steam, air conditioning, and irrigation systems",253000,265687,62177,68831,23.4,25.91,2022
680,Sewage treatment facilities,107000,118826,28869,31745,24.3,26.72,2022
690,Not specified utilities,35000,38362,10116,10116,26.37,26.37,2022
770,CONSTRUCTION,8092000,9062764,1144418,1211035,12.63,13.36,2022
4000,NONDURABLE GOODS MANUFACTURING,4739000,5295787,405436,436693,7.66,8.25,2022
1070,"Animal food, grain, and oilseed milling",163000,165071,13887,13887,8.41,8.41,2022
1080,Sugar and confectionery products,73000,74104,11382,11382,15.36,15.36,2022
1090,Fruit and vegetable preserving and specialty food manufacturing,143000,144353,13747,14377,9.52,9.96,2022
1170,Dairy product manufacturing,154000,161700,12650,14212,7.82,8.79,2022
1180,Animal slaughtering and processing,501000,461849,74695,80076,16.17,17.34,2022
1190,Retail bakeries,149000,172461,6800,6800,3.94,3.94,2022
1270,"Bakeries and tortilla manufacturing, except retail",181000,228804,25169,25169,11.0,11.0,2022
1280,"Seafood and other miscellaneous foods, n.e.c.",199000,224596,16054,17880,7.15,7.96,2022
1290,Not specified food industries,60000,70918,2354,2354,3.32,3.32,2022
1370,Beverage manufacturing,272000,337914,23007,26914,6.81,7.96,2022
1390,Tobacco manufacturing,8000,12442,0,0,0.0,0.0,2022
1470,"Fiber, yarn, and thread mills",9000,11312,0,0,0.0,0.0,2022
1480,"Fabric mills, except knitting mills",61000,64021,6434,6434,10.05,10.05,2022
1490,Textile and fabric finishing and coating mills,4000,2248,0,0,0.0,0.0,2022
1570,Carpet and rug mills,35000,39599,0,0,0.0,0.0,2022
1590,"Textile product mills, except carpet and rug",61000,59485,996,1814,1.67,3.05,2022
1670,"Knitting mills, and apparel knitting mills",11000,8346,0,0,0.0,0.0,2022
1691,"Cut and sew, and apparel accessories and other apparel manufacturing",144000,179082,10885,14864,6.08,8.3,2022
1770,Footwear manufacturing,30000,32395,1756,1756,5.42,5.42,2022
1790,Leather tanning and finishing and other leather and allied products manufacturi,13000,15256,0,0,0.0,0.0,2022
1870,"Pulp, paper, and paperboard mills",155000,164398,37638,37638,22.89,22.89,2022
1880,Paperboard containers and boxes,80000,88296,9598,11073,10.87,12.54,2022
1890,Miscellaneous paper and pulp products,65000,74673,4502,4502,6.03,6.03,2022
1990,Printing and related support activities,321000,395132,11032,11032,2.79,2.79,2022
2070,Petroleum refining,168000,169115,28976,28976,17.13,17.13,2022
