cic,industry,obs,employment,members,covered,percentmem,percentcov,year
1000,"AGRICULTURE, FORESTRY, FISHING, & HUNTING",1913000,1401486,36216,40866,2.58,2.92,2017
170,Crop production,892000,712347,15834,16939,2.22,2.38,2017
180,Animal production,615000,406056,6533,9494,1.61,2.34,2017
190,Forestry except logging,100000,53482,7065,7649,13.21,14.3,2017
270,Logging,110000,75693,2710,2710,3.58,3.58,2017
280,"Fishing, hunting, and trapping",46000,31326,1701,1701,5.43,5.43,2017
290,Support activities for agriculture and forestry,150000,122579,2371,2371,1.93,1.93,2017
2000,MINING,1296000,737556,32390,35362,4.39,4.79,2017
370,Oil and gas extraction,126000,91154,2939,2939,3.22,3.22,2017
380,Coal mining,177000,51488,6421,6984,12.47,13.57,2017
390,Metal ore mining,72000,38048,5342,5881,14.04,15.46,2017
470,"Nonmetallic mineral and not specified mining, and quarrying",170000,94488,11063,11063,11.71,11.71,2017
490,Support activities for mining,751000,462374,6623,8494,1.43,1.84,2017
3000,UTILITIES,11252000,9544999,1558362,1635490,16.33,17.13,2017
570,"Electric power generation, transmission and distribution",946000,710180,179948,186422,25.34,26.25,2017
580,Natural gas distribution,149000,117492,24970,27172,21.25,23.13,2017
590,"Electric and gas, and other combinations",157000,145178,39423,39423,27.16,27.16,2017
670,"Water, steam, air conditioning, and irrigation systems",330000,261899,64372,67980,24.58,25.96,2017
680,Sewage treatment facilities,124000,103203,26784,28087,25.95,27.22,2017
690,Not specified utilities,24000,21548,4707,4707,21.85,21.85,2017
770,CONSTRUCTION,9522000,8185497,1218155,1281697,14.88,15.66,2017
4000,NONDURABLE GOODS MANUFACTURING,6435000,5490821,495972,553128,9.03,10.07,2017
1070,"Animal food, grain, and oilseed milling",200000,153608,13231,14764,8.61,9.61,2017
1080,Sugar and confectionery products,107000,77162,7318,8586,9.48,11.13,2017
1090,Fruit and vegetable preserving and specialty food manufacturing,186000,151903,28570,30760,18.81,20.25,2017
1170,Dairy product manufacturing,220000,160174,22781,22781,14.22,14.22,2017
1180,Animal slaughtering and processing,659000,463003,64894,77864,14.02,16.82,2017
1190,Retail bakeries,296000,260151,20395,22585,7.84,8.68,2017
1270,"Bakeries, except retail",213000,181780,18067,20251,9.94,11.14,2017
1280,"Seafood and other miscellaneous foods, n.e.c.",233000,194868,11307,14359,5.8,7.37,2017
1290,Not specified food industries,87000,82577,10036,10036,12.15,12.15,2017
1370,Beverage manufacturing,309000,284091,33841,35933,11.91,12.65,2017
1390,Tobacco manufacturing,12000,12234,700,700,5.73,5.73,2017
1470,"Fiber, yarn, and thread mills",17000,14691,488,488,3.32,3.32,2017
1480,"Fabric mills, except knitting",118000,110616,4084,4084,3.69,3.69,2017
1490,Textile and fabric finishing and coating mills,8000,6965,0,0,0.0,0.0,2017
1570,Carpet and rug mills,88000,90552,1232,1232,1.36,1.36,2017
1590,"Textile product mills, except carpet and rug",68000,57166,6188,6188,10.83,10.83,2017
1670,"Knitting mills, and apparel knitting mills",23000,20174,245,1531,1.22,7.59,2017
1680,Cut and sew apparel manufacturing,223000,225634,3626,3626,1.61,1.61,2017
1690,Apparel accessories and other apparel manufacturing,5000,5777,0,0,0.0,0.0,2017
1770,Footwear manufacturing,47000,36275,1160,1160,3.2,3.2,2017
1790,Leather tanning and finishing and other allied products manufacturing,19000,14699,0,1094,0.0,7.45,2017
1870,"Pulp, paper, and paperboard mills",266000,221140,77386,82606,34.99,37.35,2017
1880,Paperboard containers and boxes,99000,90474,13661,14780,15.1,16.34,2017
1890,Miscellaneous paper and pulp products,103000,90228,6680,6680,7.4,7.4,2017
1990,Printing and related support activities,517000,449586,20612,21689,4.58,4.82,2017
2070,Petroleum refining,219000,167320,30244,30738,18.08,18.37,2017
2090,Miscellaneous petroleum and coal products,18000,12798,0,0,0.0,0.0,2017
2170,"Resin, synthetic rubber and fibers, and filaments manufacturing",187000,165489,6365,11080,3.85,6.7,2017
2180,Agricultural chemical manufacturing,53000,37817,1039,1039,2.75,2.75,2017
2190,Pharmaceutical and medicine manufacturing,569000,535888,18555,23230,3.46,4.34,2017
2270,"Paint, coating, and adhesives manufacturing",58000,55792,4105,5310,7.36,9.52,2017
