cic,industry,obs,employment,members,covered,percentmem,percentcov,year
1000,"AGRICULTURE, FORESTRY, FISHING, & HUNTING",1794000,1237451,23871,30612,1.93,2.47,2012
170,Crop production,775000,597385,6951,11619,1.16,1.95,2012
180,Animal production,648000,412405,7112,7410,1.72,1.8,2012
190,Forestry except logging,84000,41812,9069,10843,21.69,25.93,2012
270,Logging,88000,53111,738,738,1.39,1.39,2012
280,"Fishing, hunting, and trapping",48000,21943,0,0,0.0,0.0,2012
290,Support activities for agriculture and forestry,151000,110792,0,0,0.0,0.0,2012
2000,MINING,1506000,925594,66780,72196,7.21,7.8,2012
370,Oil and gas extraction,127000,90394,3960,4510,4.38,4.99,2012
380,Coal mining,239000,99392,17841,19233,17.95,19.35,2012
390,Metal ore mining,78000,37641,12036,12036,31.98,31.98,2012
470,Nonmetallic mineral mining and quarrying,187000,103228,17753,18078,17.2,17.51,2012
490,Support activities for mining,875000,594937,15189,18337,2.55,3.08,2012
3000,UTILITIES,10095000,7798851,1280189,1354309,16.42,17.37,2012
570,"Electric power generation, transmission and distribution",894000,616710,169401,183342,27.47,29.73,2012
580,Natural gas distribution,142000,111667,29924,30878,26.8,27.65,2012
590,"Electric and gas, and other combinations",104000,86171,25628,27236,29.74,31.61,2012
670,"Water, steam, air-conditioning, and irrigation systems",311000,234913,53929,59395,22.96,25.28,2012
680,Sewage treatment facilities,171000,132166,42874,49900,32.44,37.76,2012
690,Not specified utilities,24000,17437,5486,6320,31.47,36.25,2012
770,CONSTRUCTION,8449000,6599784,952943,997235,14.44,15.11,2012
4000,NONDURABLE GOODS MANUFACTURING,6661000,5164831,509247,564902,9.86,10.94,2012
1070,"Animal food, grain and oilseed milling",220000,149503,16537,17478,11.06,11.69,2012
1080,Sugar and confectionery products,86000,69124,12011,13251,17.38,19.17,2012
1090,Fruit and vegetable preserving and specialty food manufacturing,165000,124948,21639,22292,17.32,17.84,2012
1170,Dairy product manufacturing,215000,137054,22730,24791,16.58,18.09,2012
1180,Animal slaughtering and processing,709000,486690,81171,88867,16.68,18.26,2012
1190,Retail bakeries,300000,246207,21234,21626,8.62,8.78,2012
1270,"Bakeries, except retail",214000,167649,27169,32249,16.21,19.24,2012
1280,"Seafood and other miscellaneous foods, n.e.c.",276000,192201,9561,10098,4.97,5.25,2012
1290,Not specified food industries,84000,63774,4958,6074,7.77,9.53,2012
1370,Beverage manufacturing,297000,250476,39887,43096,15.92,17.21,2012
1390,Tobacco manufacturing,13000,13346,1224,1224,9.17,9.17,2012
1470,"Fiber, yarn, and thread mills",11000,8440,0,0,0.0,0.0,2012
1480,"Fabric mills, except knitting",116000,89726,2756,2907,3.07,3.24,2012
1490,Textile and fabric finishing and coating mills,21000,11803,0,0,0.0,0.0,2012
1570,Carpet and rug mills,50000,52500,984,984,1.87,1.87,2012
1590,"Textile product mills, except carpets and rugs",97000,81582,0,0,0.0,0.0,2012
1670,Knitting mills,16000,11004,0,0,0.0,0.0,2012
1680,Cut and sew apparel manufacturing,235000,210844,3391,4813,1.61,2.28,2012
1690,Apparel accessories and other apparel manufacturing,7000,5882,0,0,0.0,0.0,2012
1770,Footwear manufacturing,44000,35643,3678,3678,10.32,10.32,2012
1790,"Leather tanning and products, except footwear manufacturing",30000,21501,841,2607,3.91,12.13,2012
1870,"Pulp, paper, and paperboard mills",255000,185641,54167,57257,29.18,30.84,2012
1880,Paperboard containers and boxes,98000,77872,12727,15045,16.34,19.32,2012
1890,Miscellaneous paper and pulp products,110000,81281,10101,10980,12.43,13.51,2012
1990,Printing and related support activities,631000,476942,17708,21263,3.71,4.46,2012
2070,Petroleum refining,205000,176598,29041,30128,16.45,17.06,2012
2090,Miscellaneous petroleum and coal products,23000,17823,1201,1201,6.74,6.74,2012
2170,"Resin, synthetic rubber and fibers, and filaments manufacturing",249000,207015,9740,12532,4.71,6.05,2012
2180,Agricultural chemical manufacturing,43000,34367,3853,6021,11.21,17.52,2012
2190,Pharmaceutical and medicine manufacturing,537000,438543,16818,20527,3.84,4.68,2012
