cic,industry,obs,employment,members,covered,percentmem,percentcov,year
1000,"AGRICULTURE, FORESTRY, FISHING, & HUNTING",1803000,1383976,33383,40101,2.41,2.9,2018
170,Crop production,816000,700485,18277,22407,2.61,3.2,2018
180,Animal production,597000,400074,4313,4763,1.08,1.19,2018
190,Forestry except logging,67000,33312,3684,4790,11.06,14.38,2018
270,Logging,117000,79287,3831,4862,4.83,6.13,2018
280,"Fishing, hunting, and trapping",63000,37773,327,327,0.87,0.87,2018
290,Support activities for agriculture and forestry,143000,133044,2950,2950,2.22,2.22,2018
2000,MINING,1264000,725530,34066,38697,4.7,5.33,2018
370,Oil and gas extraction,107000,68826,3156,3637,4.59,5.28,2018
380,Coal mining,158000,65051,4722,4885,7.26,7.51,2018
390,Metal ore mining,52000,25984,3204,4038,12.33,15.54,2018
470,"Nonmetallic mineral and not specified mining, and quarrying",176000,104285,12098,12895,11.6,12.37,2018
490,Support activities for mining,771000,461382,10884,13241,2.36,2.87,2018
3000,UTILITIES,11177000,9886543,1467778,1560572,14.85,15.78,2018
570,"Electric power generation, transmission and distribution",894000,728413,171474,175760,23.54,24.13,2018
580,Natural gas distribution,162000,136440,22825,23895,16.73,17.51,2018
590,"Electric and gas, and other combinations",141000,129258,28994,29133,22.43,22.54,2018
670,"Water, steam, air conditioning, and irrigation systems",303000,246984,52462,54271,21.24,21.97,2018
680,Sewage treatment facilities,105000,89761,22733,27435,25.33,30.56,2018
690,Not specified utilities,25000,21414,5621,6164,26.25,28.79,2018
770,CONSTRUCTION,9547000,8534270,1163666,1243911,13.64,14.58,2018
4000,NONDURABLE GOODS MANUFACTURING,6208000,5471264,492406,529813,9.0,9.68,2018
1070,"Animal food, grain, and oilseed milling",196000,154808,9991,9991,6.45,6.45,2018
1080,Sugar and confectionery products,99000,70582,10297,10297,14.59,14.59,2018
1090,Fruit and vegetable preserving and specialty food manufacturing,177000,153265,20043,21394,13.08,13.96,2018
1170,Dairy product manufacturing,229000,166568,13038,14204,7.83,8.53,2018
1180,Animal slaughtering and processing,682000,500282,82790,88913,16.55,17.77,2018
1190,Retail bakeries,252000,220164,20168,22035,9.16,10.01,2018
1270,"Bakeries, except retail",209000,202132,23233,25906,11.49,12.82,2018
1280,"Seafood and other miscellaneous foods, n.e.c.",226000,188590,19697,21477,10.44,11.39,2018
1290,Not specified food industries,71000,60930,5397,5397,8.86,8.86,2018
1370,Beverage manufacturing,315000,303575,29536,29536,9.73,9.73,2018
1390,Tobacco manufacturing,15000,19160,2382,2382,12.43,12.43,2018
1470,"Fiber, yarn, and thread mills",10000,9843,0,0,0.0,0.0,2018
1480,"Fabric mills, except knitting",98000,94130,2393,2393,2.54,2.54,2018
1490,Textile and fabric finishing and coating mills,14000,12265,0,0,0.0,0.0,2018
1570,Carpet and rug mills,65000,65519,661,661,1.01,1.01,2018
1590,"Textile product mills, except carpet and rug",83000,84168,1044,1044,1.24,1.24,2018
1670,"Knitting mills, and apparel knitting mills",20000,18203,1247,1247,6.86,6.86,2018
1680,Cut and sew apparel manufacturing,181000,191420,7555,10653,3.95,5.57,2018
1690,Apparel accessories and other apparel manufacturing,10000,10030,0,0,0.0,0.0,2018
1770,Footwear manufacturing,33000,27688,1964,1964,7.1,7.1,2018
1790,Leather tanning and finishing and other allied products manufacturing,21000,18799,0,0,0.0,0.0,2018
1870,"Pulp, paper, and paperboard mills",243000,199643,65929,69152,33.02,34.64,2018
1880,Paperboard containers and boxes,100000,97802,14626,17056,14.96,17.44,2018
1890,Miscellaneous paper and pulp products,76000,64496,7161,7161,11.1,11.1,2018
1990,Printing and related support activities,483000,440286,14414,17070,3.27,3.88,2018
2070,Petroleum refining,216000,152508,27308,28892,17.91,18.94,2018
2090,Miscellaneous petroleum and coal products,32000,27678,3738,3738,13.51,13.51,2018
2170,"Resin, synthetic rubber and fibers, and filaments manufacturing",181000,177856,4392,5708,2.47,3.21,2018
2180,Agricultural chemical manufacturing,47000,33541,530,530,1.58,1.58,2018
